Program Name,University,Degree,Grade Range,Experiential Learning,Enrollment,Instruction Language
Ancient Greek and Roman Studies and Business,Trent University,"Bachelor of Arts, BA",70% minimum,Practicum or internship option available,200,English
Animal Biology,University of Guelph,"Bachelor of Science, BSc",85-91%,Faculty research opportunity,N/A,English
Anishinaabe Studies (BA 3 year),Algoma University,"Bachelor of Arts, BA",65%,Not Available,This is an open enrollment program. First-year admissions are not capped.,English
Anishinaabemowin (BA 3 year),Algoma University,"Bachelor of Arts, BA",65%,Co-op or internship application available at the university after registration,This is an open enrollment program. First-year admissions are not capped.,English
Anthropology  & Psychology,Trent University – Durham Greater Toronto Area,"Bachelor of Arts, BA",70%,Not Available,200,English
Anthropology & Business Administration,Trent University – Durham Greater Toronto Area,"Bachelor of Arts, BA",70%,Not Available,200,English
Anthropology & English Literature,Trent University – Durham Greater Toronto Area,"Bachelor of Arts, BA",70%,Not Available,200,English
Anthropology & Forensics (BA),Trent University,"Bachelor of Arts, BA",70% Minimum,Practicum or internship option available,200,English
Anthropology & Forensics (BSc),Trent University,"Bachelor of Science, BSc",70% Minimum,Practicum or internship option available,200,English
Anthropology & Media Studies,Trent University – Durham Greater Toronto Area,"Bachelor of Arts, BA",70%,Not Available,200,English
Anthropology & Sociology,Trent University – Durham Greater Toronto Area,"Bachelor of Arts, BA",70%,Not Available,200,English
Anthropology (4 years) (French Immersion Stream is available),University of Ottawa,"Bachelor of Arts (Co-op), BA (Co-op)
Bachelor of Social Science, BSocSc",+/- 75%; co-op 80%,Co-op option available with this program,28										The number of students enrolled in all the Anthropology discipline last year,English
Anthropology (BA),Trent University,"Bachelor of Arts, BA",70% minimum,Practicum or internship option available,200,English
Anthropology (BA),Trent University – Durham Greater Toronto Area,"Bachelor of Arts, BA",70% minimum,Not Available,200,English
Anthropology (BA) - Co-Op,Trent University,"Bachelor of Arts, BA",80%,Co-op program,50,English
"Anthropology (BA, iBA)",York University,"Bachelor of Arts, BA
International Bachelor of Arts, iBA",Mid-70s,Field placement,40										Open,English
Anthropology (BSc),Trent University – Durham Greater Toronto Area,"Bachelor of Science, BSc",70% minimum,Not Available,200,English
Anthropology (BSc),Trent University,"Bachelor of Science, BSc",70% minimum,Practicum or internship option available,200,English
Anthropology (BSc) - Co-Op,Trent University,"Bachelor of Science, BSc",80%,Co-op program,50,English
Anthropology (Thunder Bay and Orillia),Lakehead University,"Bachelor of Arts, BA
Bachelor of Arts and Sciences, BASc
Bachelor of Science, BSc",70%,Not Available,Open Enrollment,English
Anthropology and Sociology (Joint Honours 4 years) (French Immersion Stream is available),University of Ottawa,"Bachelor of Arts (Co-op), BA (Co-op)
Bachelor of Social Science, BSocSc",+/- 75%; co-op 80%,Co-op option available with this program,28										The number of students enrolled in all the Anthropology disciplines last year,English
Applied Biotechnology,Ontario Tech University,"Bachelor of Science, BSc
Bachelor of Science and Management, BSc&Mgt",Low 70s,Co-op option available with this program,300,English
Applied Biotechnology (Co-op),Ontario Tech University,"Bachelor of Science (Co-op), BSc (Co-op)
Bachelor of Science & Management (Co-op), BSc&Mgt (Co-op)",Low 80s,Co-op program,300,English
Applied Grape and Wine Science,Brock University,"Bachelor of Science, BSc",Mid-70s,Co-op program,516										(total for all Mathematics and Science programs),English
Applied Health Sciences (BASc),Wilfrid Laurier University – Brantford Campus,"Bachelor of Arts and Sciences, BASc",Low 80s,Class-based experiential education,592										(all Faculty of Human and Social Sciences programs combined),English
Applied Human Nutrition,University of Guelph,"Bachelor of Applied Science, BASc",75 to 80%,Practicum or internship option available,N/A,English
"Applied Life Sciences (Thunder Bay, Orillia and Lakehead/Georgian)",Lakehead University,"Bachelor of Science, BSc",70% or 75%,Not Available,Open Enrollment,English
Applied Linguistics,Brock University,"Bachelor of Arts, BA",Mid-70s,Co-op available by major,"1,364										(total for all Social Sciences programs)",English
Applied Mathematics (BA),York University,"Bachelor of Arts, BA",Low to mid 80s,Co-op or internship option available,25,English
Applied Mathematics (BSc),York University,"Bachelor of Science, BSc",High 70s to mid-80s,Co-op or internship option available,25,English
Archaeology (BA),Trent University,"Bachelor of Arts, BA",70% minimum,Practicum or internship option available,200,English
Archaeology (BA) - Co-Op,Trent University,"Bachelor of Arts, BA",80%,Co-op program,50										50,English
Archaeology (BSc),Trent University,"Bachelor of Science, BSc",70% Minimum,Practicum or internship option available,200,English
Archaeology (BSc) - Co-Op,Trent University,"Bachelor of Science, BSc",80%,Co-op option available with this program,50										50,English
Archaeology (Honours Arts) - Bioarchaeology,Trent University,"Bachelor of Arts, BA",Below 75%,Practicum or internship option available,200										200,English
Architectural Engineering (Co-op only),University of Waterloo,"Bachelor of Applied Science, BASc",Mid- to High 80s,Co-op program,90,English
Architectural Science (Honours) (Co-op Available),Toronto Metropolitan University (formerly Ryerson University),"Bachelor of Architectural Science, BArchSc",Low 90s,Co-op available by application after first year of studies,120,English
Architectural Studies,University of Toronto,"Bachelor of Arts, BA",High 80s and above,Not Available,N/A,English
Architectural Studies,Laurentian University,"Bachelor of Architectural Studies, BAS",75%,Co-op program,Open; 7 seats reserved for Indigenous students.,English
Architectural Studies (regular and co-op) – Architecture,Carleton University,"Bachelor of Architectural Studies, BAS",75-77% (regular and co-op),Co-op option available with this program,90										(all majors),English
Architecture (Co-op Only),University of Waterloo,"Bachelor of Architectural Studies, BAS",Mid-80s,Co-op program,75,English
Art History (4-year major) (French Immersion Stream is available),University of Ottawa,"Bachelor of Arts, BA",+/- 75%,Practicum or internship option available,10,English
Arts,Queen's University,"Bachelor of Arts, BA",Mid-80s,Co-op or internship option available,"1,274",English
Arts,Western University – Huron University College,"Bachelor of Arts, BA",Low to mid-80s,Practicum or internship option available,N/A,English
Arts,Western University – King's University College,"Bachelor of Arts, BA",80%,Class-based experiential education,150,English
Arts Degree (BA) + Business Administration (MBA) with Co-op,Wilfrid Laurier University,"Bachelor of Arts/Master of Arts, BA/MA",Low-90s,Co-op program,"4,432										(all Faculty of Arts programs combined)",English
Arts Degree (BA) + Master’s Degree (MA or MAP),Wilfrid Laurier University,"Bachelor of Arts/Master of Arts, BA/MA",Low-80s,Not Available,"4,429										(all Faculty of Arts programs combined)",English
Arts General,University of Guelph,"Bachelor of Arts, BA",75 to 80%,Class-based experiential education,N/A,English
Arts Honours,University of Guelph,"Bachelor of Arts, BA",75 - 80% for all majors except Creative Writing (80 - 85%),Co-op available by major,N/A,English
"Arts Honours, Psychology (Co-op option available)",University of Guelph,"Bachelor of Arts, BA",80 to 86%,Co-op option available with this program,N/A,English
Arts One (Thunder Bay),Lakehead University,"Bachelor of Arts, BA",70%,Not Available,Open Enrollment,English
Arts and Business,Trent University – Durham Greater Toronto Area,"Bachelor of Arts, BA",N/A,Not Available,200,English
Arts and Contemporary Studies (Honours),Toronto Metropolitan University (formerly Ryerson University),"Bachelor of Arts, BA",Low 70s,Embedded community engagement/volunteerism/partnership,70,English
Arts and Humanities,Western University,"Bachelor of Arts, BA
Bachelor of Business Administration/Bachelor of Arts, BBA/BA
Bachelor of Fine Arts, BFA
Certificate, Cert
Diploma, Dipl.",Low 80s,Co-op or internship application available at the university after registration,250										(total for arts programs),English
Arts and Science I,McMaster University,"Bachelor of Arts and Sciences, BASc",88%+ to be considered,Not Available,70,English
Arts and Sciences,University of Guelph,"Bachelor of Arts and Science, BAS",78 to 83%,Embedded community engagement/volunteerism/partnership,N/A,English
Arts – Interdisciplinary Studies (3 years),University of Ottawa,"Bachelor of Arts, BA",+/- 75%,Class-based experiential education,105										The number of students enrolled in all the Arts - Interdisciplinary Studies disciplines last year,English
Arts – Interdisciplinary Studies (4 years),University of Ottawa,"Bachelor of Arts, BA",+/- 75%,Class-based experiential education,105										The number of students enrolled in all the Arts - Interdisciplinary Studies disciplines last year,English
"Arts, Honours (BA): St. Jerome’s University",University of Waterloo – St. Jerome's University,"Bachelor of Arts, BA",Low 80s,Co-op option available with this program,365										(includes enrollment on main University of Waterloo campus),English
Astrophysics,Ontario Tech University,"Bachelor of Science, BSc
Bachelor of Science and Management, BSc&Mgt",Low 70s,Co-op option available with this program,300,English
Astrophysics (Co-op),Ontario Tech University,"Bachelor of Science (Co-op), BSc (Co-op)
Bachelor of Science & Management (Co-op), BSc&Mgt (Co-op)",Low 80s,Co-op program,300,English
Automation Systems Engineering Technology (Bachelor of Technology),McMaster University,"Bachelor of Technology, BTech",A minimum of 82% is required for consideration. Admission is by selection.,Co-op program,240										Enrollment number includes all 3 streams of the Bachelor of Technology,English
Automotive & Vehicle Engineering Technology I (Bachelor of Technology),McMaster University,"Bachelor of Technology, BTech",A minimum of 82% is required for consideration. Admission is by selection.,Co-op program,240										Enrollment number includes all 3 streams of the Bachelor of Technology,English
Automotive Engineering,Ontario Tech University,"Bachelor of Engineering, BEng
Bachelor of Engineering and Management, BEng&Mgt",Mid-70s,Co-op or internship option available,500,English
Automotive Engineering (Co-op),Ontario Tech University,"Bachelor of Engineering (Co-op), BEng (Co-op)
Bachelor of Engineering & Management (Co-op), BEng&Mgt (Co-op)",Mid 70s,Co-op program,500,English
BA – Honours (4 years) (co-op available with some concentrations),Carleton University,"Bachelor of Arts, BA",75-77%,Co-op available by major,"2,000										(total for all BA Honours and BA Non-Honours programs)",English
BA – Non-Honours (3 years),Carleton University,"Bachelor of Arts, BA",75–77%,Not Available,"2,000										(total for all BA Honours and BA Non-Honours programs)",English
Bachelor of Arts,Nipissing University,"Bachelor of Arts, BA",Min. 70%,Not Available,Open enrollment,English
Bachelor of Arts & Science,Trent University,"Bachelor of Arts, BA",75%,Practicum or internship option available,200,English
Bachelor of Arts & Science (Honours Bachelor of Arts and Sciences) – Co-op,Trent University,"Bachelor of Arts and Science, BAS",80-85%,Co-op program,50										Fifty,English
Bachelor of Arts (Liberal Arts),Nipissing University,"Bachelor of Arts, BA",Min. 70%,Not Available,Open enrollment,English
Bachelor of Arts and Science - Medical: Trent/Swansea Dual Degree,Trent University,"Bachelor of Architectural Studies, BAS",80% minimum,Practicum or internship option available,200,English
Bachelor of Arts in Criminal Justice,Nipissing University,"Bachelor of Arts, BA",Min. 70%,Not Available,Open enrollment,English
Bachelor of Arts in History with Orientation to a Master of Arts in History,Nipissing University,"Bachelor of Arts, BA",Min. 80%. Limited enrollment program. Admission average required may be higher than the minimum.,Not Available,6										Limited enrollment,English
Bachelor of Arts in Social Welfare and Social Development/Social Service Worker Diploma (joint program with Canadore College),Nipissing University,"Bachelor of Arts, BA",Min. 70%,Not Available,Open enrollment,English
Bachelor of Arts/Bachelor of Commerce,Nipissing University,"Bachelor of Arts/Bachelor of Commerce, BA/BComm",Min. 70%,Not Available,Open enrollment,English
Bachelor of Business Administration,Nipissing University,"Bachelor of Business Administration, BBA",Min. 70%,Co-op available by application after first year of studies,Open enrollment,English
Bachelor of Business Administration,Trent University – Durham Greater Toronto Area,"Bachelor of Administration, BAdmin",70% minimum,Not Available,200,English
"Bachelor of Creative Arts, Health and Wellness (Honours)",University of Guelph,"Bachelor of Creative Arts, Health and Wellness, BCA",80 to 85%,Not Available,N/A,English
Bachelor of Fine Arts,Nipissing University,"Bachelor of Fine Arts, BFA",Min. 70%,Not Available,Open enrollment,English
Bachelor of Indigenous Environmental Science and Practice,University of Guelph,"N/A, N/A",75 to 80%,Co-op option available with this program,N/A,English
Bachelor of Mathematics (General),University of Guelph,"Bachelor of Mathematics, General, BMG",78 to 84%,Not Available,N/A,English
Bachelor of Mathematics (Honours),University of Guelph,"Bachelor of Mathematics, Honours, BMH",78 to 84%,Not Available,N/A,English
Bachelor of One Health,University of Guelph,"Bachelor of One Health, BOH",78 to 84 %,Co-op option available with this program,N/A,English
Bachelor of Physical and Health Education,Nipissing University,"Bachelor of Physical and Health Education, BPHE","Min. 70%. 120 students (max) will be admitted; therefore, the actual admission average may be higher.",Embedded community engagement/volunteerism/partnership,"120										Limited enrollment, highly competitive program",English
Bachelor of Science,Nipissing University,"Bachelor of Science, BSc",Min. 70%,Not Available,Open enrollment,English
Bachelor of Science (Liberal Science),Nipissing University,"Bachelor of Science, BSc",Min. 70%,Not Available,Open enrollment,English
Bachelor of Science in Agriculture,University of Guelph,"Bachelor of Science, BSc
Diploma, Dipl.",75 to 80%,Not Available,N/A,English
Bachelor of Science in Environmental Sciences,University of Guelph,"Bachelor of Science, BSc",75 to 80%,Co-op option available with this program,N/A,English
"Bachelor of Science in Kinesiology, BSc(Kin) Bachelor of Sport Management, BSM",University of Windsor,"Bachelor of Science in Kinesiology, BSc(Kin)
Bachelor of Sport Management, BSM",70% to 85%,Co-op or internship application available at the university after registration,275										200 - Kinesiology and Health Studies; 75 - Sport Management and Leadership,English
Bachelor of Science in Nursing,Nipissing University,"Bachelor of Science in Nursing, BScN",Min. 70%. Maximum 100 students. The admission average in 2024 was mid 80s.,Clinical placement,"60										Limited enrollment, highly competitive program",English
"Bachelor of Science, General (3 years)",University of Guelph,"Bachelor of Science, BSc",78 to 84%,Not Available,N/A,English
"Bachelor of Science, Honours (4 years)",University of Guelph,"Bachelor of Science, BSc","78-84% for all majors except Biological Science and Neuroscience  (81-86%), and Animal Biology, Bio-Medical Science (85-91%)",Co-op available by major,N/A,English
Bachelor of Science/Bachelor of Commerce,Nipissing University,"Bachelor of Science/Bachelor of Commerce, BSc/BComm",70% and above,Not Available,Open enrollment,English
Bachelor of Social Work,Nipissing University,"Bachelor of Social Work, BSW",Min. 70%,Field placement,Year 3 and 4 requires re-application and will be limited enrollment,English
"Behaviour, Cognition and Neuroscience",University of Windsor,"Bachelor of Science, BSc",70% to 88%,Faculty research opportunity,N/A,English
Behavioural Neuroscience,Laurentian University,"Bachelor of Science, BSc",70%,Faculty research opportunity,Open,English
Bio-Medical Science,University of Guelph,"Bachelor of Science, BSc",85 to 91%,Faculty research opportunity,N/A,English
Biochemistry,Laurentian University,"Bachelor of Science, BSc",70%,Co-op or internship application available at the university after registration,Open,English
Biochemistry,University of Windsor,"Bachelor of Science, BSc",70% to 88%,Co-op or internship application available at the university after registration,No limit,English
Biochemistry,Brock University,"Bachelor of Science, BSc",Mid-70s,Co-op program,516										(total for all Mathematics and Science programs),English
Biochemistry (4 years) (French Immersion Stream is available),University of Ottawa,"Bachelor of Science, BSc
Bachelor of Science (Co-op), BSc (Co-op)",80%,Co-op option available with this program,147,English
Biochemistry (BSc),York University,"Bachelor of Science, BSc",Low to mid-80s,Co-op or internship option available,65										Open,English
Biochemistry and Biotechnology (BSc),Wilfrid Laurier University,"Bachelor of Science, BSc",Mid-70s,Co-op or internship application available at the university after registration,"7,863										(all Faculty of Science programs combined)",English
Biochemistry and Molecular Biology,Trent University,"Bachelor of Science, BSc",70% minimum,Practicum or internship option available,200,English
Bioinformatics (Thunder Bay),Lakehead University,"Bachelor of Science, BSc",70%,Not Available,Open Enrollment,English
Biological Engineering (co-op and regular),University of Guelph,"Bachelor of Engineering, BEng",84 to 89%,Co-op option available with this program,N/A,English
Biological Science,Ontario Tech University,"Bachelor of Science, BSc
Bachelor of Science and Management, BSc&Mgt",Low 70s,Co-op option available with this program,300,English
Biological Science (Co-op),Ontario Tech University,"Bachelor of Science (Co-op), BSc (Co-op)
Bachelor of Science & Management (Co-op), BSc&Mgt (Co-op)",Low 70s,Co-op program,300,English
Biological Sciences,University of Windsor,"Bachelor of Science, BSc",75% to 86%,Class-based experiential education,No limit,English
Biological Sciences,Brock University,"Bachelor of Science, BSc
Bachelor of Science/Bachelor of Education, BSc/BEd",Mid-70s,Not Available,516										(total for all Mathematics and Science programs),English
Biology,Trent University,"Bachelor of Science, BSc",70% minimum,Practicum or internship option available,200,English
Biology (4 years) (French Immersion Stream is available),University of Ottawa,"Bachelor of Science, BSc
Bachelor of Science (Co-op), BSc (Co-op)",80%,Co-op option available with this program,125,English
Biology (BA),Wilfrid Laurier University,"Bachelor of Arts, BA",Mid-80s,Co-op or internship application available at the university after registration,"7,863										(all Faculty of Science programs combined)",English
Biology (BSc 3 year),Algoma University,"Bachelor of Science, BSc",70%+,Co-op or internship application available at the university after registration,This is an open enrollment program. First-year admissions are not capped.,English
Biology (BSc 4 year),Algoma University,"Bachelor of Science, BSc",70%+,Co-op option available with this program,This is an open enrollment program. First-year admissions are not capped.,English
Biology (BSc),Wilfrid Laurier University,"Bachelor of Science, BSc",High-80s,Co-op or internship application available at the university after registration,"7,863										(all Faculty of Science programs combined)",English
Biology (BSc),York University,"Bachelor of Science, BSc
International Bachelor of Science, iBSc",Low to mid-80s,Co-op or internship option available,300										Open,English
Biology (BSc) (Courses in English or French as per student's preference),York University – Glendon Campus,"Bachelor of Science, BSc
International Bachelor of Science, iBSc",Mid- to high 70s,Class-based experiential education,400										(total for all programs),English & French
Biology (Honours) (Co-op Available),Toronto Metropolitan University (formerly Ryerson University),"Bachelor of Science, BSc",High 70s,Co-op available by application after first year of studies,190,English
Biology (iBSc),York University,"International Bachelor of Science, iBSc",Mid-70s to low 80s,Not Available,Open,English
"Biology (includes Environmental Science, Animal Sciences, Plant Sciences, and Biodiversity and Conservation) (Thunder Bay)",Lakehead University,"Bachelor of Environmental Science, BESc
Bachelor of Science, BSc",70%,Not Available,Open Enrollment,English
Biomedical Biology,Laurentian University,"Bachelor of Science, BSc",70%,Class-based experiential education,Open,English
Biomedical Engineering (Co-op & Regular),University of Guelph,"Bachelor of Engineering, BEng",84 to 89%,Co-op option available with this program,N/A,English
Biomedical Engineering (Co-op Available),Toronto Metropolitan University (formerly Ryerson University),"Bachelor of Engineering, BEng",Low 80s,Co-op option available with this program,126,English
Biomedical Engineering (Co-op Only),University of Waterloo,"Bachelor of Applied Science, BASc",High 80s to low 90s,Co-op program,95,English
Biomedical Mechanical Engineering (4 years),University of Ottawa,"Bachelor of Applied Science, BASc
Bachelor of Engineering (Co-op), BEng (Co-op)",82%,Co-op option available with this program,106										Maximum enrollment in Biomedical Mechanical Engineering,English
Biomedical Mechanical Engineering and Computing Technology (5-year double degree),University of Ottawa,"Bachelor of Applied Science, BASc
Bachelor of Engineering (Co-op), BEng (Co-op)
Bachelor of Science/Bachelor of Applied Science, BSc/BASc",80%,Co-op option available with this program,106										Maximum enrollment in Biomedical Mechanical Engineering disciplines,English
Biomedical Physics (BSc),York University,"Bachelor of Science, BSc",High 70s to mid 80s,Co-op or internship option available,25										Open,English
Biomedical Science,Trent University,"Bachelor of Science, BSc",75% minimum,Practicum or internship option available,50,English
Biomedical Science,Ontario Tech University,"Bachelor of Science, BSc
Bachelor of Science and Management, BSc&Mgt",Low 70s,Co-op option available with this program,300,English
Biomedical Science (4 years) (French Immersion Stream is available),University of Ottawa,"Bachelor of Science, BSc",80%,Co-op available by application after first year of studies,340,English
Biomedical Science (BSc),York University,"Bachelor of Science, BSc",Low to mid-80s,Co-op or internship option available,100										Open,English
Biomedical Science (Co-op),Ontario Tech University,"Bachelor of Science (Co-op), BSc (Co-op)
Bachelor of Science & Management (Co-op), BSc&Mgt (Co-op)",Low 70s,Co-op program,300,English
Biomedical Sciences,University of Windsor,"Bachelor of Science, BSc",75% to 89%,Practicum or internship option available,No limit,English
Biomedical Sciences,Brock University,"Bachelor of Science, BSc",Mid 70s,Not Available,516										(total for all Mathematics and Science programs),English
Biomedical Sciences (Honours) (Co-op Available),Toronto Metropolitan University (formerly Ryerson University),"Bachelor of Science, BSc",High 80s,Co-op option available with this program,210,English
Biopharmaceutical Sciences (4 years) (French Immersion Stream is available),University of Ottawa,"Bachelor of Science, BSc",80%,Co-op option available with this program,67,English
Biophysics,Brock University,"Bachelor of Science, BSc",Mid-70s,Not Available,516										(total for all Mathematics and Science programs),English
Biotechnology,Brock University,"Bachelor of Science, BSc",Mid-70s,Co-op option available with this program,516										(total for all Mathematics and Science programs),English
Biotechnology (BSc),York University,"Bachelor of Science, BSc",Low to mid-80s,Co-op option available with this program,75										Open,English
Biotechnology (Biochemistry and Chemical Engineering) (5-year double degree) (French Immersion Stream is available),University of Ottawa,"Bachelor of Science/Bachelor of Applied Science, BSc/BASc
Bachelor of Science (Co-op), BSc (Co-op)",80%,Co-op option available with this program,147										The number of students enrolled in all the Biochemistry disciplines last year,English
Biotechnology I (Bachelor of Technology),McMaster University,"Bachelor of Technology, BTech",A minimum of 82% is required for consideration. Admission is by selection.,Co-op program,240										Enrollment number includes all 3 streams of the Bachelor of Technology,English
Biotechnology/Chartered Professional Accountancy (Co-op Only),University of Waterloo,"Bachelor of Science, BSc",High 80s,Co-op program,25,English
Brescia School of Food and Nutritional Sciences,Western University,"Bachelor of Science, BSc",Mid 80s,Co-op available by major,Contact the university for more information,English
Bruce Power Women in Nuclear Engineering Co-op Program (BEng/BEngM),Ontario Tech University,"Bachelor of Engineering, BEng
Bachelor of Engineering and Management, BEng&Mgt",Mid 70s,Co-op or internship option available,10										TBD,English
Business & Society (BA),York University,"Bachelor of Arts, BA",Mid-70s,Co-op or internship option available,200										Open,English
Business (co-op available) (Thunder Bay and Orillia),Lakehead University,"Bachelor of Administration, BAdmin
Bachelor of Commerce, BComm",70%,Co-op or internship option available,Open Enrollment,English
Business Administration,Brock University,"Bachelor of Business Administration, BBA",Mid-70s; co-op low 80s,Co-op option available with this program,565										(total for all Business programs),English
Business Administration,University of Windsor,"Bachelor of Commerce, BComm",73 to 85%,Co-op option available with this program,400,English
Business Administration,Laurentian University,"Bachelor of Business Administration, BBA",70%,Co-op or internship application available at the university after registration,Open,English
Business Administration (BBA),Wilfrid Laurier University,"Bachelor of Business Administration, BBA",Low-90s,Co-op or internship application available at the university after registration,"4,244										(all Lazaridis School of Business and Economics programs combined)",English
Business Administration (BBA),York University,"Bachelor of Business Administration, BBA",High 80s to low 90s,Not Available,400										Open,English
"Business Administration (BBA) + Computer Science (BCS), University of Waterloo",Wilfrid Laurier University,"Bachelor of Business Administration/Bachelor of Computer Science, BBA/BCS",Mid-90s,Co-op program,"4,244										(all Lazaridis School of Business and Economics programs combined)",English
Business Administration (BBA) + Computer Science (BSc),Wilfrid Laurier University,"Bachelor of Business Administration/Bachelor of Science, BBA/BSc",Low 90s,Co-op option available with this program,"4,244										(all Lazaridis School of Business and Economics programs combined)",English
Business Administration (BBA) + Financial Mathematics and Analytics (BA),Wilfrid Laurier University,"Bachelor of Business Administration/Bachelor of Arts, BBA/BA",Low 90s,Co-op option available with this program,"4,244										(all Lazaridis School of Business and Economics programs combined)",English
"Business Administration (BBA) + Mathematics (BMath), University of Waterloo",Wilfrid Laurier University,"Bachelor of Business Administration/Bachelor of Mathematics, BBA/BMath",Low 90s,Co-op option available with this program,"4,244										(all Lazaridis School of Business and Economics programs combined)",English
Business Administration (Brampton) (BBA 4 year),Algoma University,"Bachelor of Business Administration, BBA",70%+,Not Available,This is an open enrollment program. First-year admissions are not capped.,English
Business Administration (Honours),Trent University,"Bachelor of Business Administration, BBA",70% minimum,Co-op or internship option available,"1,600",English
Business Administration (Laurier) and Computer Science (Waterloo) Double Degree (Co-op Only),University of Waterloo,"Bachelor of Business Administration/Bachelor of Computer Science, BBA/BCS",Mid-90s,Co-op program,79,English
Business Administration (Laurier) and Mathematics (Waterloo) Double Degree (Co-op Only),University of Waterloo,"Bachelor of Business Administration/Bachelor of Mathematics, BBA/BMath","Mid - High 80""s",Co-op program,70,English
Business Administration Co-op International Dual Degree,Brock University,"Bachelor of Business Administration/Bachelor of Science, BBA/BSc",High 80s,Co-op program,20										Limited enrollment program.,English
Business Administration – Accounting,Laurentian University,"Bachelor of Business Administration, BBA",70%,Co-op or internship application available at the university after registration,Open,English
Business Administration – Accounting (BBA 4 year),Algoma University,"Bachelor of Business Administration, BBA",70%+,Co-op option available with this program,This is an open enrollment program. First-year admissions are not capped.,English
Business Administration – Accounting (Brampton) (BBA 4 year),Algoma University,"Bachelor of Business Administration, BBA",70%+,Co-op option available with this program,This is an open enrollment program. First-year admissions are not capped.,English
Business Administration – Accounting – Co-op,Trent University,"Bachelor of Business Administration, BBA",90 to 95%,Co-op program,10,English
Business Administration – Co-op,Trent University,"Bachelor of Business Administration, BBA",90-95%,Co-op program,10,English
Business Administration – Economics (BBA 4 year),Algoma University,"Bachelor of Business Administration, BBA",70%+,Co-op option available with this program,This is an open enrollment program. First-year admissions are not capped.,English
Business Administration – Finance,Laurentian University,"Bachelor of Business Administration, BBA",70%,Co-op or internship application available at the university after registration,Open,English
Business Administration – Human Resources Management,Laurentian University,"Bachelor of Business Administration, BBA",70%,Co-op or internship application available at the university after registration,Open,English
Business Administration – Human Resources Management (BBA 4 year),Algoma University,"Bachelor of Business Administration, BBA",70%+,Co-op option available with this program,This is an open enrollment program. First-year admissions are not capped.,English
Business Administration – Human Resources Management (Brampton) (BBA 4 year),Algoma University,"Bachelor of Business Administration, BBA",70%+,Co-op option available with this program,This is an open enrollment program. First-year admissions are not capped.,English
Business Administration – Marketing,Laurentian University,"Bachelor of Business Administration, BBA",70%,Co-op or internship application available at the university after registration,Open,English
Business Administration – Marketing (BBA 4 year),Algoma University,"Bachelor of Business Administration, BBA",70%+,Co-op option available with this program,This is an open enrollment program. First-year admissions are not capped.,English
Business Administration – Marketing (Brampton) (BBA 4 year),Algoma University,"Bachelor of Business Administration, BBA",70%+,Co-op option available with this program,This is an open enrollment program. First-year admissions are not capped.,English
Business Communication,Brock University,"Bachelor of Arts, BA",Mid- to high-70s,Practicum or internship option available,"1,364										(total for all Social Sciences programs)",English
Business Economics,Brock University,"Bachelor of Business Economics, BBE",Mid-70s,Co-op program,"1,364										(total for all Social Science programs)",English
