Program Name,University Name,Program Link
Biology (BA),Wilfrid Laurier University,https://www.ouinfo.ca/programs/laurier-waterloo/uba
Biology (BSc 3 year),Algoma University,https://www.ouinfo.ca/programs/algoma/jfa
Biology (BSc 4 year),Algoma University,https://www.ouinfo.ca/programs/algoma/jga
Biology (BSc),Wilfrid Laurier University,https://www.ouinfo.ca/programs/laurier-waterloo/ue
Biology (BSc),York University,https://www.ouinfo.ca/programs/york/ysb
Biology (BSc) (Courses in English or French as per student's preference),York University – Glendon Campus,https://www.ouinfo.ca/programs/york-glendon/yyf
Biology (Honours) (Co-op Available),Toronto Metropolitan University (formerly Ryerson University),https://www.ouinfo.ca/programs/toronto-metropolitan/sbx
Biology (iBSc),York University,https://www.ouinfo.ca/programs/york/ysz
"Biology (includes Environmental Science, Animal Sciences, Plant Sciences, and Biodiversity and Conservation) (Thunder Bay)",Lakehead University,https://www.ouinfo.ca/programs/lakehead/ad
Biomedical Biology,Laurentian University,https://www.ouinfo.ca/programs/laurentian/lbw
Biomedical Engineering (Co-op & Regular),University of Guelph,https://www.ouinfo.ca/programs/guelph/gbi
Biomedical Engineering (Co-op Available),Toronto Metropolitan University (formerly Ryerson University),https://www.ouinfo.ca/programs/toronto-metropolitan/sbi
Biomedical Engineering (Co-op Only),University of Waterloo,https://www.ouinfo.ca/programs/waterloo/wbm
Biomedical Mechanical Engineering (4 years),University of Ottawa,https://www.ouinfo.ca/programs/ottawa/oec
Biomedical Mechanical Engineering and Computing Technology (5-year double degree),University of Ottawa,https://www.ouinfo.ca/programs/ottawa/oey
Biomedical Physics (BSc),York University,https://www.ouinfo.ca/programs/york/ypt
Biomedical Science,Trent University,https://www.ouinfo.ca/programs/trent/rbs
Biomedical Science,Ontario Tech University,https://www.ouinfo.ca/programs/ontario-tech/dsu
Biomedical Science (4 years) (French Immersion Stream is available),University of Ottawa,https://www.ouinfo.ca/programs/ottawa/oun
Biomedical Science (BSc),York University,https://www.ouinfo.ca/programs/york/ysw
Biomedical Science (Co-op),Ontario Tech University,https://www.ouinfo.ca/programs/ontario-tech/duc
Biomedical Sciences,University of Windsor,https://www.ouinfo.ca/programs/windsor/nsd
Biomedical Sciences,Brock University,https://www.ouinfo.ca/programs/brock/bim
Biomedical Sciences (Honours) (Co-op Available),Toronto Metropolitan University (formerly Ryerson University),https://www.ouinfo.ca/programs/toronto-metropolitan/sbs
Biopharmaceutical Sciences (4 years) (French Immersion Stream is available),University of Ottawa,https://www.ouinfo.ca/programs/ottawa/oum
Biophysics,Brock University,https://www.ouinfo.ca/programs/brock/bbp
Biotechnology,Brock University,https://www.ouinfo.ca/programs/brock/bit
Biotechnology (BSc),York University,https://www.ouinfo.ca/programs/york/ysa
Biotechnology (Biochemistry and Chemical Engineering) (5-year double degree) (French Immersion Stream is available),University of Ottawa,https://www.ouinfo.ca/programs/ottawa/osy
Biotechnology I (Bachelor of Technology),McMaster University,https://www.ouinfo.ca/programs/mcmaster/mtt
Biotechnology/Chartered Professional Accountancy (Co-op Only),University of Waterloo,https://www.ouinfo.ca/programs/waterloo/wsa
Brescia School of Food and Nutritional Sciences,Western University,https://www.ouinfo.ca/programs/western/eh
Bruce Power Women in Nuclear Engineering Co-op Program (BEng/BEngM),Ontario Tech University,https://www.ouinfo.ca/programs/ontario-tech/dnw
Business & Society (BA),York University,https://www.ouinfo.ca/programs/york/yfd
Business (co-op available) (Thunder Bay and Orillia),Lakehead University,https://www.ouinfo.ca/programs/lakehead/ae
Business Administration,Brock University,https://www.ouinfo.ca/programs/brock/bn
Business Administration,University of Windsor,https://www.ouinfo.ca/programs/windsor/nc
Business Administration,Laurentian University,https://www.ouinfo.ca/programs/laurentian/loq
Business Administration (BBA),Wilfrid Laurier University,https://www.ouinfo.ca/programs/laurier-waterloo/ub
Business Administration (BBA),York University,https://www.ouinfo.ca/programs/york/yba
"Business Administration (BBA) + Computer Science (BCS), University of Waterloo",Wilfrid Laurier University,https://www.ouinfo.ca/programs/laurier-waterloo/uwb
Business Administration (BBA) + Computer Science (BSc),Wilfrid Laurier University,https://www.ouinfo.ca/programs/laurier-waterloo/uxa
Business Administration (BBA) + Financial Mathematics and Analytics (BA),Wilfrid Laurier University,https://www.ouinfo.ca/programs/laurier-waterloo/ubf
"Business Administration (BBA) + Mathematics (BMath), University of Waterloo",Wilfrid Laurier University,https://www.ouinfo.ca/programs/laurier-waterloo/uww
Business Administration (Brampton) (BBA 4 year),Algoma University,https://www.ouinfo.ca/programs/algoma/jdb
Business Administration (Honours),Trent University,https://www.ouinfo.ca/programs/trent/rd
Business Administration (Laurier) and Computer Science (Waterloo) Double Degree (Co-op Only),University of Waterloo,https://www.ouinfo.ca/programs/waterloo/wbc
Business Administration (Laurier) and Mathematics (Waterloo) Double Degree (Co-op Only),University of Waterloo,https://www.ouinfo.ca/programs/waterloo/wba
Business Administration Co-op International Dual Degree,Brock University,https://www.ouinfo.ca/programs/brock/bnd
Business Administration – Accounting,Laurentian University,https://www.ouinfo.ca/programs/laurentian/low
Business Administration – Accounting (BBA 4 year),Algoma University,https://www.ouinfo.ca/programs/algoma/jdd
Business Administration – Accounting (Brampton) (BBA 4 year),Algoma University,https://www.ouinfo.ca/programs/algoma/jdh
Business Administration – Accounting – Co-op,Trent University,https://www.ouinfo.ca/programs/trent/rdm
Business Administration – Co-op,Trent University,https://www.ouinfo.ca/programs/trent/rdl
Business Administration – Economics (BBA 4 year),Algoma University,https://www.ouinfo.ca/programs/algoma/jde
Business Administration – Finance,Laurentian University,https://www.ouinfo.ca/programs/laurentian/lok
Business Administration – Human Resources Management,Laurentian University,https://www.ouinfo.ca/programs/laurentian/los
Business Administration – Human Resources Management (BBA 4 year),Algoma University,https://www.ouinfo.ca/programs/algoma/jdf
Business Administration – Human Resources Management (Brampton) (BBA 4 year),Algoma University,https://www.ouinfo.ca/programs/algoma/jdi
Business Administration – Marketing,Laurentian University,https://www.ouinfo.ca/programs/laurentian/loi
Business Administration – Marketing (BBA 4 year),Algoma University,https://www.ouinfo.ca/programs/algoma/jdg
Business Administration – Marketing (Brampton) (BBA 4 year),Algoma University,https://www.ouinfo.ca/programs/algoma/jdj
Business Communication,Brock University,https://www.ouinfo.ca/programs/brock/bud
Business Economics,Brock University,https://www.ouinfo.ca/programs/brock/be
Business Economics (BA),York University,https://www.ouinfo.ca/programs/york/ybh
Business Economics (Courses in English or French as per student's preference),York University – Glendon Campus,https://www.ouinfo.ca/programs/york-glendon/yge
Business I,McMaster University,https://www.ouinfo.ca/programs/mcmaster/mb
Business Management (Honours),Toronto Metropolitan University (formerly Ryerson University),https://www.ouinfo.ca/programs/toronto-metropolitan/sbe
Business Management Co-op (Honours),Toronto Metropolitan University (formerly Ryerson University),https://www.ouinfo.ca/programs/toronto-metropolitan/sqb
Business Technology Management (BBTM) NOTE: This Milton program is pending Laurier Senate approval.,Wilfrid Laurier University – Milton Campus,https://www.ouinfo.ca/programs/laurier-Milton/ubt
Business Technology Management (Honours),Toronto Metropolitan University (formerly Ryerson University),https://www.ouinfo.ca/programs/toronto-metropolitan/sbb
Business Technology Management Co-op (Honours),Toronto Metropolitan University (formerly Ryerson University),https://www.ouinfo.ca/programs/toronto-metropolitan/sqc
Business and Arts,Trent University,https://www.ouinfo.ca/programs/trent/rad
Business and Computing & Information Systems,Trent University – Durham Greater Toronto Area,https://www.ouinfo.ca/programs/trent-durham-gta/rcc
Business and Science,Trent University,https://www.ouinfo.ca/programs/trent/rsd
Business and Society (BA),Ontario Tech University,https://www.ouinfo.ca/programs/ontario-tech/daf
Business and Society (Co-op),Ontario Tech University,https://www.ouinfo.ca/programs/ontario-tech/dlb
Cultural Studies and Business,Trent University,https://www.ouinfo.ca/programs/trent/rjc
Canadian Studies,Brock University,https://www.ouinfo.ca/programs/brock/bl
Canadian Studies,Trent University,https://www.ouinfo.ca/programs/trent/rca
Canadian Studies (Honours Arts) – Co-op,Trent University,https://www.ouinfo.ca/programs/trent/rax
Canadian Studies and Business,Trent University,https://www.ouinfo.ca/programs/trent/rja
Certificate in Spanish - Peterborough Campus,Trent University,https://www.ouinfo.ca/programs/trent/rrs
Chemical & Physical Sciences I,McMaster University,https://www.ouinfo.ca/programs/mcmaster/mps
Chemical Biology,Ontario Tech University,https://www.ouinfo.ca/programs/ontario-tech/dsh
Chemical Biology (Co-op),Ontario Tech University,https://www.ouinfo.ca/programs/ontario-tech/dhc
Chemical Engineering,University of Toronto,https://www.ouinfo.ca/programs/toronto-st-george/tb
Chemical Engineering (4 years),University of Ottawa,https://www.ouinfo.ca/programs/ottawa/oee
Chemical Engineering (Co-op Only),University of Waterloo,https://www.ouinfo.ca/programs/waterloo/wc
Chemical Engineering Co-op,Toronto Metropolitan University (formerly Ryerson University),https://www.ouinfo.ca/programs/toronto-metropolitan/scf
Chemical Engineering and Computing Technology (5-year double degree),University of Ottawa,https://www.ouinfo.ca/programs/ottawa/oea
Chemical Engineering: Trent/Swansea Dual Degree,Trent University,https://www.ouinfo.ca/programs/trent/rce
Chemical Physics,Trent University,https://www.ouinfo.ca/programs/trent/rhy
Chemical and Physical Sciences,University of Toronto Mississauga,https://www.ouinfo.ca/programs/toronto-mississauga/tmw
Chemistry,Ontario Tech University,https://www.ouinfo.ca/programs/ontario-tech/dsy
Chemistry,Trent University,https://www.ouinfo.ca/programs/trent/rch
Chemistry,University of Windsor,https://www.ouinfo.ca/programs/windsor/nsc
Chemistry,Brock University,https://www.ouinfo.ca/programs/brock/bjc
Chemistry,Laurentian University,https://www.ouinfo.ca/programs/laurentian/lcy
Chemistry & Physics (BSc),Wilfrid Laurier University,https://www.ouinfo.ca/programs/laurier-waterloo/ucp
Chemistry (4 years) (French Immersion Stream is available),University of Ottawa,https://www.ouinfo.ca/programs/ottawa/ous
Chemistry (BSc),York University,https://www.ouinfo.ca/programs/york/ysc
Chemistry (BSc),Wilfrid Laurier University,https://www.ouinfo.ca/programs/laurier-waterloo/uhc
Chemistry (Co-op),Ontario Tech University,https://www.ouinfo.ca/programs/ontario-tech/dcy
Chemistry (Honours) (Co-op Available),Toronto Metropolitan University (formerly Ryerson University),https://www.ouinfo.ca/programs/toronto-metropolitan/sch
Chemistry (includes Medical Sciences) (Thunder Bay),Lakehead University,https://www.ouinfo.ca/programs/lakehead/af
Child & Youth Studies & Sociology,Trent University – Durham Greater Toronto Area,https://www.ouinfo.ca/programs/trent-durham-gta/rok
Child Health,Brock University,https://www.ouinfo.ca/programs/brock/bhl
Child Studies,University of Guelph,https://www.ouinfo.ca/programs/guelph/gcs
Child and Youth Care,Toronto Metropolitan University (formerly Ryerson University),https://www.ouinfo.ca/programs/toronto-metropolitan/scy
Child and Youth Studies,Trent University – Durham Greater Toronto Area,https://www.ouinfo.ca/programs/trent-durham-gta/rov
Child and Youth Studies,Brock University,https://www.ouinfo.ca/programs/brock/bd
Child and Youth Studies & Psychology,Trent University – Durham Greater Toronto Area,https://www.ouinfo.ca/programs/trent-durham-gta/roi
Childhood and Youth Studies,Western University – King's University College,https://www.ouinfo.ca/programs/western-kings/ekc
"Children, Childhood & Youth (BA)",York University,https://www.ouinfo.ca/programs/york/yfx
"Christianity, Interfaith Dialogue and Community Engagement (BA)",Wilfrid Laurier University,https://www.ouinfo.ca/programs/laurier-waterloo/ucg
Cinema & Media Arts (BA),York University,https://www.ouinfo.ca/programs/york/yeb
Cinema & Media Arts - Media Arts (BFA),York University,https://www.ouinfo.ca/programs/york/yjd
Cinema & Media Arts - Production (BFA),York University,https://www.ouinfo.ca/programs/york/yea
Cinema & Media Arts - Screenwriting (BFA),York University,https://www.ouinfo.ca/programs/york/yef
Circumpolar Studies Diploma,Trent University,https://www.ouinfo.ca/programs/trent/rcj
"Cities, Regions, Planning (BES)",York University,https://www.ouinfo.ca/programs/york/yhv
Civil Engineering,University of Windsor,https://www.ouinfo.ca/programs/windsor/neb
Civil Engineering,University of Toronto,https://www.ouinfo.ca/programs/toronto-st-george/tv
Civil Engineering (4 years),University of Ottawa,https://www.ouinfo.ca/programs/ottawa/ohe
Civil Engineering (Co-op Available),Toronto Metropolitan University (formerly Ryerson University),https://www.ouinfo.ca/programs/toronto-metropolitan/scg
Civil Engineering (Co-op Only),University of Waterloo,https://www.ouinfo.ca/programs/waterloo/we
Civil Engineering and Computing Technology (5-year double degree),University of Ottawa,https://www.ouinfo.ca/programs/ottawa/oba
Classical Studies / Classics (BA),York University,https://www.ouinfo.ca/programs/york/yrc
Classics,Brock University,https://www.ouinfo.ca/programs/brock/bq
Climate Change Science & Policy,Trent University,https://www.ouinfo.ca/programs/trent/rck
Climate and Environmental Change (Regular/Co-op),University of Waterloo,https://www.ouinfo.ca/programs/waterloo/wce
Cognitive Science (BA),York University,https://www.ouinfo.ca/programs/york/ybj
Cognitive Science – Honours (regular and co-op),Carleton University,https://www.ouinfo.ca/programs/carleton/cgs
Cognitive Science – Non-Honours,Carleton University,https://www.ouinfo.ca/programs/carleton/cgg
Commerce,Ontario Tech University,https://www.ouinfo.ca/programs/ontario-tech/dbc
Commerce,Queen's University,https://www.ouinfo.ca/programs/queens/qc
Commerce (BCom),York University,https://www.ouinfo.ca/programs/york/yfb
Commerce (Co-op),Ontario Tech University,https://www.ouinfo.ca/programs/ontario-tech/dcc
"Commerce (Including Accounting, Economics, Finance, Marketing)",University of Toronto Mississauga,https://www.ouinfo.ca/programs/toronto-mississauga/tme
Commerce (regular and co-op),Carleton University,https://www.ouinfo.ca/programs/carleton/cc
Commerce - Accounting (4 years) (French Immersion Stream is available),University of Ottawa,https://www.ouinfo.ca/programs/ottawa/otc
Commerce - Accounting (co-op and regular),University of Guelph,https://www.ouinfo.ca/programs/guelph/gbk
Commerce - Food and Agricultural Business (co-op and regular),University of Guelph,https://www.ouinfo.ca/programs/guelph/gbb
"Commerce - Government, Economics and Management ( co-op and regular)",University of Guelph,https://www.ouinfo.ca/programs/guelph/gbj
Commerce - Management (co-op and regular),University of Guelph,https://www.ouinfo.ca/programs/guelph/gbf
Commerce - Management Economics and Finance (co-op and regular),University of Guelph,https://www.ouinfo.ca/programs/guelph/gbd
Commerce - Marketing Management (co-op and regular),University of Guelph,https://www.ouinfo.ca/programs/guelph/gbe
Commerce - Real Estate (co-op and regular),University of Guelph,https://www.ouinfo.ca/programs/guelph/ghr
Commerce - Sport and Event Management Commerce (co-op and regular),University of Guelph,https://www.ouinfo.ca/programs/guelph/gbx
Commerce and Juris Doctor (6-year double degree) (French Immersion Stream is available),University of Ottawa,https://www.ouinfo.ca/programs/ottawa/ojm
Commerce – Accounting (regular and co-op),Carleton University,https://www.ouinfo.ca/programs/carleton/ccc
Commerce – Business Technology Management (4 years) (French Immersion Stream is available),University of Ottawa,https://www.ouinfo.ca/programs/ottawa/owm
Commerce – Entrepreneurship (regular and co-op),Carleton University,https://www.ouinfo.ca/programs/carleton/cce
Commerce – Finance (4 years) (French Immersion Stream is available),University of Ottawa,https://www.ouinfo.ca/programs/ottawa/oto
Commerce – Finance (regular and co-op),Carleton University,https://www.ouinfo.ca/programs/carleton/ccf
Commerce – Healthcare Analytics (4 years) (French Immersion Stream is available),University of Ottawa,https://www.ouinfo.ca/programs/ottawa/ota
Commerce – Human Resource Management (4 years) (French Immersion Stream is available),University of Ottawa,https://www.ouinfo.ca/programs/ottawa/otq
